107751    20130821    T    N    F    392000.0
107752    20021223    D    N    F    385000.0
107753    19970731    D    N    F    180000.0
107754    20011010    S    N    F    340000.0
107754    20171218    S    N    F    770000.0
107755    20120314    D    N    F    427000.0
107756    20101126    D    N    F    382500.0
107757    20170630    T    N    F    582000.0
107759    20220422    T    N    F    695000.0
107760    19990326    T    N    F    123000.0
107760    20060116    T    N    F    298000.0
107761    20160519    S    N    F    805000.0
107762    19960812    T    N    F    107000.0
107763    20000428    T    N    F    181500.0
107763    20140310    T    N    F    452000.0
107764    19960508    S    N    F    81000.0
107765    20221125    S    N    F    680000.0
107766    20120323    S    N    F    312500.0
107767    19960531    T    N    F    107000.0
107767    19980430    T    N    F    137500.0
107767    20041112    T    N    F    292000.0
107768    20201026    T    N    F    700000.0
107769    19970731    S    N    F    116000.0
107769    20130103    S    N    F    375000.0
107769    20170711    S    N    F    600000.0
107770    20171020    T    N    F    585000.0
107771    19960618    S    N    F    87000.0
107771    20210624    S    N    F    710000.0
107772    20191108    S    N    F    630000.0
195268    20190328    T    N    F    1000000.0
195269    20151130    S    N    F    675000.0
195270    20180903    S    N    F    455000.0
195270    20221026    S    N    F    720000.0
195271    20010604    T    N    F    82000.0
195271    20051111    T    N    F    270000.0
195272    20101123    T    N    F    330000.0
195273    20010918    S    N    F    200000.0
195274    19961014    S    N    F    158000.0
195274    20020816    S    N    F    347500.0
195274    20181017    S    N    F    1225000.0
195275    19961113    S    N    F    184000.0
195279    20191011    S    N    F    2325000.0
195283    20110617    S    N    F    905000.0
195284    20010223    S    Y    F    249950.0
195284    20070330    S    N    F    532000.0
195286    20140529    D    N    F    1140000.0
195287    20010228    T    N    F    425000.0
195287    20010629    T    N    F    625000.0
195287    20050630    T    N    F    835000.0
195287    20191021    T    N    F    2155000.0
195288    19980625    T    N    F    330000.0
195289    19951127    D    Y    F    170500.0
195289    20020718    D    N    F    450000.0
195289    20110222    D    N    F    835000.0
195289    20230803    D    N    F    1295000.0
195290    20150828    T    N    F    1127500.0
195291    20050801    T    N    F    542500.0
195292    20020417    D    N    F    434500.0
